Co,Ti,Mo,Ni,W,Al,Si,V,Cu,P,Fe,Sn,N,Nb,C,Mn,S,Cr,roughness,heat-treatment/temperature-1,heat-treatment/time-1,heat-treatment/temperature-2,heat-treatment/time-2,heat-treatment/temperature-3,heat-treatment/time-3,heat-treatment/temperature-4,heat-treatment/time-4,heat-treatment/temperature-5,heat-treatment/time-5,heat-treatment/temperature-6,heat-treatment/time-6,heat-treatment/temperature-7,heat-treatment/time-7,info/testing-area,info/temperature,info/scan-rate,info/initial-potential,result/pitting-breakdown-potential,info/initial-temperature,info/polarized-potential,info/heating-rate,result/critical-pitting-temperature,info/current-density,result/maximum-activation-current-density,result/maximum-reactivation-current-density,result/current-reactivation-ratio,solute-1,solution/weight-concentration-1,solution/mol-concentration-1,solute-2,solution/weight-concentration-2,solution/mol-concentration-2,solute-3,solution/weight-concentration-3,solution/mol-concentration-3,NaCl-weight,NaCl-mol,H2SO4-weight,H2SO4-mol,HCL-weight,HCL-mol,Oxalic acid-weight,Oxalic acid-mol,过硫酸铵-weight,过硫酸铵-mol,NaBr-weight,NaBr-mol,FeCl3-weight,FeCl3-mol,硼酸-weight,硼酸-mol,NaBr+NaCl-weight,NaBr+NaCl-mol,Na2SO4-weight,Na2SO4-mol,OH--weight,OH-mol,硼酸盐-weight,硼酸盐-mol,KSCN-weight,KSCN-mol,SnCl2-weight,SnCl2-mol,氢氧化钠-weight,氢氧化钠-mol,ferric sulphate-weight,ferric sulphate-mol,immersion-test//solid-content,immersion-test//cycles,cycle-number-1,weight-after-test-1,corrosion-rate-1,cycle-number-2,weight-after-test-2,corrosion-rate-2,cycle-number-3,weight-after-test-3,corrosion-rate-3,cycle-number-4,weight-after-test-4,corrosion-rate-4,cycle-number-5,weight-after-test-5,corrosion-rate-5,cycle-number-6,weight-after-test-6,corrosion-rate-6,PREN
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,5,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.3417,0.3883,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.3543,0.4329,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.3732,0.3673,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.3429,0.3382,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,2,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.3691,0.2749,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.3642,0.336,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3,4,,,0.45,,,,,,0.14,,0.018,1.48,0.004,22.9,3,1030,60,,,,,,,,,,,,,1,35,0.00033,-0.3,0.601,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3,4,,,0.45,,,,,,0.14,,0.018,1.48,0.004,22.9,3,1030,60,,,,,,,,,,,,,1,35,0.00033,-0.3,0.612,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3,4,,,0.45,,,,,,0.14,,0.018,1.48,0.004,22.9,3,1030,60,,,,,,,,,,,,,1,35,0.00033,-0.3,0.627,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3,4,,,0.45,,,,,,0.14,,0.018,1.48,0.004,22.9,3,1050,60,,,,,,,,,,,,,1,35,0.00033,-0.3,0.629,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3,4,,,0.45,,,,,,0.14,,0.018,1.48,0.004,22.9,3,1050,60,,,,,,,,,,,,,1,35,0.00033,-0.3,0.627,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3,4,,,0.45,,,,,,0.14,,0.018,1.48,0.004,22.9,3,1050,60,,,,,,,,,,,,,1,35,0.00033,-0.3,0.566,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.3426,0.36,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3,4,,,0.45,,,,,,0.14,,0.018,1.48,0.004,22.9,3,1080,60,,,,,,,,,,,,,1,35,0.00033,-0.3,0.702,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3,4,,,0.45,,,,,,0.14,,0.018,1.48,0.004,22.9,3,1000,60,,,,,,,,,,,,,1,35,0.00033,-0.3,0.494,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.13,,,,,0.51,,,0.024,,,0.007,0.15,0.015,0.28,0.002,16.41,3,,,,,,,,,,,,,,,1,30,0.001667,-0.6,0.179,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3,4,,,0.45,,,,,,0.14,,0.018,1.48,0.004,22.9,3,1000,60,,,,,,,,,,,,,1,35,0.00033,-0.3,0.48,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3,4,,,0.45,,,,,,0.14,,0.018,1.48,0.004,22.9,3,1000,60,,,,,,,,,,,,,1,35,0.00033,-0.3,0.484,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,26.6,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,32.5,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,28.4,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,28.4,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,37.9,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,34,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,35.2,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,1,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,21.2,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,1,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,23.8,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,1,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,22.8,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,2,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,23.9,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,2,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,24.8,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,25.3,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,28,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,27.2,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,28.8,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,4,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,33,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,4,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,27.7,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,4,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,30.7,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,5,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,33.8,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,5,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,35.7,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,5,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,34.8,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,1,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.24,0.238,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,1,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.24,0.261,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.3703,0.4133,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,34.6,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,35.1,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,37.3,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,31.3,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,33.6,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,30.4,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,26.1,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,28.4,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,26.8,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,24.5,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,23.9,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,,,,,5,0.4,1,25.5,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.346,0.247,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.4654,0.265,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.3267,0.273,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.4154,0.282,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.3539,0.308,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.4154,0.316,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.409,0.396,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.4026,0.368,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.433,0.332,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.3613,0.445,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.333,0.406,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,0.2826,30,0.0001667,-0.363,0.439,,,,,,,,,1,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,0,1,1,6.632,2.07E-10,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,0,1,1,6.576,1.95E-10,,,,,,,,,,,,,,,,
,,,8.03,,,0.35,,,0.032,,,,,0.074,1.02,0.011,17.55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,0,1,1,6.709,2.01E-10,,,,,,,,,,,,,,,,
