,钢号,试验单位,缺口形状,试样尺寸,取样方向,试验方法,炉号,热处理号,温度,样品数,屈服点,序号,试验单位-化学成分,铈,镧,钙,钴,铝(不可溶),铝(可溶),铌,钛,硼,铜,钨,钒,钼,镍,铬,硫,磷,锰,硅,碳,锶,硒,钠,汞,镉,银,砷,铋,锌,锑,锡,铅,铁,稀土,氮气,氧气,氢气,氮,氧,氢,镁,试验单位-金相组织,夹杂物,渗氮,渗碳,金相组织,最大晶粒度,晶粒度,马氏体转变开,热处理工艺
1218,2Cr12Ni1W1Mo1V,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,15855,1.0,25.0,2.0,816.0,7.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.21,0.86,1.14,12.35,0.006,0.023,0.7,0.35,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,哈尔滨汽轮机厂,NaN,NaN,NaN,回火索氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃ 10h 空冷;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1219,2Cr12Ni1W1Mo1V,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,15856,1.0,25.0,2.0,816.0,8.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.18,0.81,1.05,11.94,0.004,0.019,0.69,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,哈尔滨汽轮机厂,NaN,NaN,NaN,回火索氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃ 10h 空冷;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1220,2Cr12Ni1W1Mo1V,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,16858,1.0,25.0,2.0,762.0,9.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.25,0.87,1.14,12.0,0.007,0.011,0.69,0.34,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,哈尔滨汽轮机厂,NaN,NaN,NaN,回火索氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃ 10h 空冷;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1221,2Cr12Ni1W1Mo1V,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,16859,1.0,25.0,2.0,779.0,10.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.3,0.84,1.09,11.41,0.005,0.014,0.64,0.33,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,哈尔滨汽轮机厂,NaN,NaN,NaN,回火索氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃ 10h 空冷;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1222,2Cr12Ni1W1Mo1V,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,16712,1.0,25.0,2.0,764.0,11.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.22,0.83,1.04,11.61,0.007,0.013,0.69,0.32,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,哈尔滨汽轮机厂,NaN,NaN,NaN,回火索氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃ 10h 空冷;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1223,2Cr12Ni1W1Mo1V,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,16713,1.0,25.0,2.0,769.0,12.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.21,0.94,1.18,11.88,0.007,0.017,0.63,0.28,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,哈尔滨汽轮机厂,NaN,NaN,NaN,回火索氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃ 10h 空冷;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1224,2Cr12Ni1W1Mo1V,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,16714,1.0,25.0,5.0,804.0,13.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.25,0.95,1.21,11.18,0.009,0.017,0.64,0.37,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,哈尔滨汽轮机厂,NaN,NaN,NaN,回火索氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃ 10h 空冷;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1225,2Cr12Ni1W1Mo1V,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,16716,1.0,25.0,2.0,786.0,14.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.23,1.05,1.19,11.87,0.006,0.019,0.71,0.25,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,哈尔滨汽轮机厂,NaN,NaN,NaN,回火索氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃ 10h 空冷;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1226,2Cr12Ni1W1Mo1V,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,16719,1.0,25.0,2.0,813.0,15.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.24,0.88,0.97,11.56,0.006,0.019,0.65,0.38,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,哈尔滨汽轮机厂,NaN,NaN,NaN,回火索氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃ 10h 空冷;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1227,2Cr12Ni1W1Mo1V,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,16720,1.0,25.0,2.0,755.0,16.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.24,0.8,0.95,11.59,0.007,0.013,0.65,0.37,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,哈尔滨汽轮机厂,NaN,NaN,NaN,回火索氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃ 10h 空冷;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1228,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9554,1.0,25.0,2.0,936.0,1.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.3,1.27,1.98,11.66,0.01,0.027,0.64,0.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:600℃ * 5h;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1229,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9554,2.0,25.0,2.0,843.0,2.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.3,1.27,1.98,11.66,0.01,0.027,0.64,0.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:650℃ * 5h;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1230,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9554,3.0,25.0,2.0,777.0,3.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.3,1.27,1.98,11.66,0.01,0.027,0.64,0.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:700℃ * 5h;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1231,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9551,4.0,25.0,2.0,832.0,4.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:685℃ * 5h;淬火:1030℃ 油冷;正火:NaN;退火:NaN
1232,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9551,5.0,25.0,2.0,812.0,5.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃* 6h;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1233,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9551,6.0,25.0,2.0,792.0,6.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃* 3h +680℃* 3h 二次;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1234,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9552,7.0,25.0,2.0,852.0,7.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.23,1.11,2.13,11.04,0.004,0.018,0.42,0.42,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃* 5h;淬火:1030℃ 油冷;正火:NaN;退火:NaN
1235,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9552,7.0,25.0,2.0,867.0,8.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.23,1.11,2.13,11.04,0.004,0.018,0.42,0.42,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃* 5h;淬火:1030℃ 油冷;正火:NaN;退火:NaN
1236,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9552,8.0,25.0,2.0,807.0,9.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.23,1.11,2.13,11.04,0.004,0.018,0.42,0.42,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃* 10h 空冷;淬火:1030℃ 油冷;正火:NaN;退火:NaN
1237,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9552,8.0,25.0,2.0,807.0,10.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.23,1.11,2.13,11.04,0.004,0.018,0.42,0.42,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃* 10h 空冷;淬火:1030℃ 油冷;正火:NaN;退火:NaN
1238,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9554,5.0,25.0,3.0,798.0,11.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.3,1.27,1.98,11.66,0.01,0.027,0.64,0.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃* 6h;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1239,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9554,5.0,25.0,3.0,813.0,12.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.3,1.27,1.98,11.66,0.01,0.027,0.64,0.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃* 6h;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1240,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9554,6.0,25.0,3.0,783.0,13.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.3,1.27,1.98,11.66,0.01,0.027,0.64,0.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃* 3h +680℃* 3h 二次;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1241,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9554,6.0,25.0,3.0,785.0,14.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.3,1.27,1.98,11.66,0.01,0.027,0.64,0.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:680℃* 3h +680℃* 3h 二次;淬火:1050℃ 油冷;正火:NaN;退火:NaN
1242,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9555,9.0,25.0,9.0,798.0,15.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.29,1.14,2.44,12.2,0.004,0.01,0.58,0.24,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,"热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:锻造后, 690℃* 8h 二次 回火;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN"
1243,2Cr12Ni2W1Mo1V,_,光滑,_,横向,,9555,9.0,25.0,9.0,792.0,16.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.29,1.14,2.44,12.2,0.004,0.01,0.58,0.24,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,"热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:锻造后, 690℃* 8h 二次 回火;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN"
1244,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9555,9.0,25.0,18.0,782.0,17.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.29,1.14,2.44,12.2,0.004,0.01,0.58,0.24,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,"热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:锻造后, 690℃* 8h 二次 回火;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN"
1245,2Cr12Ni2W1Mo1V,_,光滑,_,横向,,9555,9.0,25.0,7.0,787.0,18.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.29,1.14,2.44,12.2,0.004,0.01,0.58,0.24,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,"热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:锻造后, 690℃* 8h 二次 回火;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN"
1246,2Cr12Ni2W1Mo1V,_,光滑,_,_,,9551,10.0,25.0,1.0,965.0,19.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,"热处理4:NaN;热处理3:NaN;热处理2:回火;热处理1:余热淬火, 670℃* 5h+670℃* 4h 二次;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN"
1247,2Cr12Ni2W1Mo1V,_,光滑,_,_,,9551,10.0,25.0,2.0,965.0,20.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,"热处理4:NaN;热处理3:NaN;热处理2:回火;热处理1:余热淬火, 670℃* 5h+670℃* 4h 二次;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN"
1248,2Cr12Ni2W1Mo1V,_,光滑,_,_,,9551,11.0,25.0,1.0,840.0,21.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:670℃* 5h+670℃* 4h 二次;淬火:1030℃ 二次;正火:NaN;退火:NaN
1249,2Cr12Ni2W1Mo1V,_,光滑,_,_,,9551,11.0,25.0,2.0,795.0,22.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:670℃* 5h+670℃* 4h 二次;淬火:1030℃ 二次;正火:NaN;退火:NaN
1250,2Cr12Ni2W1Mo1V,_,光滑,_,_,,9551,10.0,25.0,1.0,955.0,23.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,"热处理4:NaN;热处理3:NaN;热处理2:回火;热处理1:余热淬火, 670℃* 5h+670℃* 4h 二次;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN"
1251,2Cr12Ni2W1Mo1V,_,光滑,_,_,,9551,10.0,25.0,2.0,960.0,24.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,"热处理4:NaN;热处理3:NaN;热处理2:回火;热处理1:余热淬火, 670℃* 5h+670℃* 4h 二次;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN"
1252,2Cr12Ni2W1Mo1V,_,光滑,_,_,,9551,11.0,25.0,1.0,810.0,25.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:670℃* 5h+670℃* 4h 二次;淬火:1030℃ 二次;正火:NaN;退火:NaN
1253,2Cr12Ni2W1Mo1V,_,光滑,_,_,,9551,11.0,25.0,2.0,807.0,26.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:670℃* 5h+670℃* 4h 二次;淬火:1030℃ 二次;正火:NaN;退火:NaN
1254,2Cr12Ni2W1Mo1V,_,光滑,_,_,,9551,12.0,25.0,2.0,867.0,27.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,"热处理4:NaN;热处理3:NaN;热处理2:680℃* 5h + 680℃* 4h 二次 回火;热处理1:锻造后空冷 至 800℃, 保持 5分;;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN"
1255,2Cr12Ni2W1Mo1V,_,光滑,_,_,,9551,10.0,25.0,2.0,885.0,28.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,"热处理4:NaN;热处理3:NaN;热处理2:回火;热处理1:余热淬火, 670℃* 5h+670℃* 4h 二次;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN"
1256,2Cr12Ni2W1Mo1V,_,光滑,_,纵向,,9551,13.0,25.0,6.0,804.0,29.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.3,0.26,1.1,2.11,11.7,0.004,0.018,0.44,0.42,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,"热处理4:NaN;热处理3:NaN;热处理2:* 10h  回火;热处理1:余热淬火 , 670℃* 10h + 670℃* 8.5h + 690℃;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN"
