Hz,u,widths,width_heights,left_ips,right_ips,prominences,left_bases,right_bases,Bandwidth
"8.04,17.36","0.369407,0.676864","162.99073218870058,15.89442842743756","0.2566101428571428,0.6574432857142856","89.64993026499303,378.2192052347519","252.6406624536936,394.11363366218944","0.22526599999999994,0.03884142857142869","41,318","317,400",5.52
10.24,0.144551,213.7489649,0.106856357,123.2504903,336.9994552,0.075389286,21,400,1.96
9.16,0.226004,219.7854097,0.135045286,98.50010896,318.2855186,0.181917429,0,395,3.24
8,0.292254,289.7308525,0.266096929,46.60082363,336.3316761,0.052314143,0,400,2
"9.2,16.48,17.76","0.906215,0.076836,0.048588","62.760782697938936,10.899362726898858,6.75","0.5819209999999999,0.0716707857142857,0.047377285714285705","148.75000921862903,355.6005487696938,391.375","211.51079191656797,366.49991149659263,398.125","0.6440679999999999,0.008393285714285714,0.0024214285714285674","38,347,385","385,385,400",6.2
"4.16,10.4,15.28","0.110734,0.039548,0.028249","23.154316303114925,16.416845349868595,45.11627994045864","0.07449557142857141,0.010815214285714282,-0.009200928571428572","44.43661655822302,203.02501272208332,300.1940533114945","67.59093286133795,219.4418580719519,345.3103332519531","0.07054085714285713,0.05423699999999998,0.07296271428571427","35,197,289","395,395,395",6.2
"2.4,6.32,16.4","0.437288,0.174011,0.00339","12.688868996558273,41.437634824935,24.37455757224916","0.3226796428571428,0.13236442857142855,-0.02986278571428571","3.852795173361845,86.0,348.47999929201035","16.541664169920118,127.437634824935,372.8545568642595","0.20855499999999993,0.08135599999999996,0.06327699999999999","0,38,336","400,400,400",6.84
"5.04,14.24","0.059344,0.025902","35.79204796994985,26.208319213825803","0.05031607142857142,0.019754071428571423","62.29151135208404,288.75008471704507","98.08355932203389,314.9584039308709","0.01721328571428571,0.01145242857142857","49,272","382,382",5.32
"7.2,13.84","0.027198,0.072555","110.5,70.44452245364954","0.022620142857142853,0.037339714285714275","54.0,269.55555555555554","164.5,340.0000780092051","0.009155714285714284,0.06958542857142856","24,217","216,371",2.24
"3.64,11.76,16.2","0.081733,0.111169,0.091441","38.34341803643265,74.03222489275785,42.47926437592639","0.07108549999999997,0.0912392857142857,0.08596049999999997","11.78088363954505,211.75864347060119,333.5624688154875","50.124301675977705,285.79086836335904,376.04173319141387","0.021294999999999994,0.039680571428571426,0.010961000000000012","0,0,308","128,399,399",1.6
"12.44,14.96","0.221086,0.269468","24.981571712266714,56.52749040858845","0.21863649999999996,0.2265994285714285","248.29461740221234,291.189568414941","273.27618911447905,347.71705882352944","0.0048990000000000145,0.08068171428571425","0,0","278,390",2.88
"5.28,11.04","0.23048,0.200104","155.85982563861404,14.944183797055416","0.19578707142857135,0.1955411428571428","21.687275449101783,221.44639598540144","177.54710108771582,236.39057978245685","0.06938585714285711,0.009036285714285691","0,197","336,336",4
8.28,0.630788,113.0004661,0.60826,89.49976696,202.500233,0.045056,43,258,8.6
14.08,0.350438,118,0.341677,243.5,361.5,0.017522,240,365,5.24
11.92,0.154459,153.9997776,0.097759429,129.8750392,283.8748168,0.113398571,50,328,2.44
"3.08,4.56,14.0","1.303665,1.17801,0.74411","20.136458723344877,16.77276936611564,20.21270967917269","1.0907816428571424,1.1242987142857142,0.6007854285714285","18.513514536644447,55.56815761448351,290.9272762631501","38.64997325998932,72.34092698059915,311.13998594232277","0.32928185714285685,0.08666771428571418,0.244016","0,43,274","400,400,400",9.12
"5.64,8.64,14.88","0.106963,0.077901,0.113421","39.57873868147435,30.466863479251487,31.669349665713582","0.09277799999999997,0.05898807142857142,0.09531514285714282","69.00011261261263,150.9616447493806,307.50008847991506","108.57885129408697,181.4285082286321,339.16943814562865","0.028369999999999992,0.034366428571428576,0.03551999999999998","55,139,258","258,258,347",5.16
"2.68,6.44,16.92","0.160637,0.079878,-0.029968","16.83502399881899,26.140627045227987,27.112678578084456","0.10380371428571425,0.06351464285714284,-0.0455832857142857","10.199298770879293,96.32427075542259,357.81150793650795","27.034322769698285,122.46489780065058,384.9241865145924","0.11113714285714281,0.032107,0.02968142857142856","0,76,344","400,400,400",5.32
4.36,0.02686,46.75628021,0.017695,37.86856852,84.62484873,0.017443714,0,131,5.04
"7.16,11.44","0.137553,0.132562","225.07592520929762,22.99951667472294","0.09280942857142854,0.13183199999999995","63.70782257045367,216.9999999999992","288.7837477797513,239.99951667472214","0.08938342857142854,0.0013562857142856988","0,198","400,400",5.28
"4.24,8.36,15.12","0.096441,0.068215,0.112123","16.87816506324227,22.354755506980865,85.3589111985641","0.07527157142857141,0.05802199999999998,0.07812771428571426","48.074158046384206,151.4784007098098,268.8744022951864","64.95232310962648,173.83315621679066,354.23331349375053","0.03561914285714285,0.01904199999999999,0.0644065714285714","0,106,106","106,185,379",5.2
10.92,0.087318,134,0.0639295,182.5,316.5,0.046777,96,362,5.4
"5.76,12.04","0.118726,0.091092","85.08410682299302,56.57145847871607","0.10439699999999996,0.08648599999999998","49.749633610161204,216.49999999999994","134.83374043315422,273.071458478716","0.028658000000000003,0.009212000000000012","24,195","348,348",5.6
"16.92,17.04,17.12","0.70405,0.71028,0.70405","139.99903707270076,139.99903707270076,139.99903707270076","0.6982644999999998,0.6982644999999998,0.6982644999999998","248.5004814636496,248.5004814636496,248.5004814636496","388.49951853635037,388.49951853635037,388.49951853635037","0.01335099999999989,0.01335099999999989,0.01335099999999989","1,1,1","397,397,397",6
"2.88,6.12","-0.025249,-0.023256","21.863385608685817,100.37523516082982","-0.041836999999999985,-0.045325214285714274","12.678420411381067,59.37482754295748","34.541806020066886,159.7500627037873","0.029188571428571418,0.04413842857142855","0,0","47,389",4.48
14.28,0.076782,25.8868885,0.070235357,291.7748438,317.6617323,0.012545857,232,328,5.6
"12.08,17.2","0.186826,0.119162","115.2004306003866,7.663740872229425","0.14502757142857137,0.11168728571428568","192.06226145038164,376.5797328027288","307.26269205076824,384.24347367495824","0.08359685714285711,0.008276285714285736","66,359","359,389",3.4
"11.92,15.76,17.6","0.110479,0.082335,0.068563","153.13810846376703,30.876226955130335,7.288959247609171","0.07938407142857141,0.07493592857142854,0.0674507857142857","130.99993576567317,320.95456615805057,387.71070675105483","284.1380442294402,351.8307931131809,394.999665998664","0.06206157142857142,0.014541857142857134,0.002052714285714269","71,315,374","374,374,400",3.2
16.48,0.122164,56.5,0.109075,327,383.5,0.026178,141,399,1.6
"7.0,11.6","0.12037,0.12963","31.375,219.49972999243977","0.11094564285714283,0.09259299999999998","114.875,102.50027000756022","146.25,322.0","0.018848714285714302,0.07407399999999999","73,73","166,400",5.04
"9.08,16.52","0.176991,0.141593","170.0,57.00097929855656","0.14159299999999997,0.12768635714285712","93.49999999999999,323.999209039548","263.5,381.0001883381046","0.07079599999999998,0.02781328571428572","26,298","400,400",2.28
2.2,0.155417,6,0.154148429,2,8,0.002537143,0,90,1.4
8.28,0.630788,113.0004661,0.60826,89.49976696,202.500233,0.045056,43,258,8.6
14.08,0.350438,118,0.341677,243.5,361.5,0.017522,240,365,5.24
"5.76,12.04","0.118726,0.091092","85.08410682299302,56.57145847871607","0.10439699999999996,0.08648599999999998","49.749633610161204,216.49999999999994","134.83374043315422,273.071458478716","0.028658000000000003,0.009212000000000012","24,195","348,348",5.6
"16.92,17.04,17.12","0.70405,0.71028,0.70405","139.99903707270076,139.99903707270076,139.99903707270076","0.6982644999999998,0.6982644999999998,0.6982644999999998","248.5004814636496,248.5004814636496,248.5004814636496","388.49951853635037,388.49951853635037,388.49951853635037","0.01335099999999989,0.01335099999999989,0.01335099999999989","1,1,1","397,397,397",6
"7.52,9.2","0.031279,0.029101","5.086151593818556,8.738990938811042","0.025743357142857137,0.02378114285714285","135.16215182124273,175.31281913464122","140.2483034150613,184.05181007345226","0.003535285714285713,0.006664285714285713","132,169","146,211",4.6
"3.08,4.56,14.0","1.303665,1.17801,0.74411","20.136458723344877,16.77276936611564,20.21270967917269","1.0907816428571424,1.1242987142857142,0.6007854285714285","18.513514536644447,55.56815761448351,290.9272762631501","38.64997325998932,72.34092698059915,311.13998594232277","0.32928185714285685,0.08666771428571418,0.244016","0,43,274","400,400,400",9.12
"2.84,4.36,6.36","0.314693,0.333393,0.361175","13.592963324699136,23.955000626994988,105.22972935175383","0.2977674999999999,0.32640885714285706,0.3191006428571428","14.53896451142439,52.69494321426305,50.05358734402852","28.131927836123527,76.64994384125804,155.28331669578236","0.028278714285714268,0.013051714285714222,0.08132557142857144","6,6,6","37,88,394",5.12
11.44,0.190561,145.2852254,0.1825765,165.2147746,310.5,0.015969,0,391,6.84
3.44,0.175656,20.58450704,0.174262286,27.16619718,47.75070423,0.002585143,0,58,5.96
2.64,0.201561,22.10086657,0.199989714,4.499471645,26.60033822,0.003142571,0,65,5.92
"2.52,2.96,14.68","0.355469,0.316406,0.269531","5.40317602217039,7.128827588145164,25.62056822815771","0.2848772857142856,0.2770648571428571,0.16406242857142855","10.39682397782961,20.775014400000007,307.4905618455118","15.8,27.90384198814517,333.11113007366953","0.04575914285714289,0.06808028571428576,0.2008928571428571","7,7,286","19,244,354",3.56
"2.48,3.24,13.4","0.568648,0.565061,0.070184","14.877783019423749,5.106722678463878,25.08378067484665","0.5249744285714284,0.5208759999999999,0.043032357142857136","7.7578123638391645,28.562503734687784,269.66634132738426","22.635595383262913,33.66922641315166,294.7501220022309","0.07658799999999999,0.05455942857142859,0.05327871428571427","4,26,243","387,387,387",1.12
"5.84,11.68,16.52","0.012052,-0.00465,-0.024389","20.250329380764157,38.201760498998794,20.395632133450476","0.01126585714285714,-0.008066499999999997,-0.025290499999999994","82.5,220.11088355763604,347.87499999999994","102.75032938076416,258.31264405663484,368.2706321334504","0.0014094285714285719,0.0068330000000000005,0.0016401428571428574","68,193,324","400,400,400",5.16
11.6,0.620112,230.5,0.611732,125,355.5,0.01676,21,359,8.04
"5.68,11.96,14.64","0.218413,0.104832,0.090018","55.37608674869479,38.502147664687044,12.681311260219843","0.1961905,0.09178099999999997,0.07142371428571426","66.76682101682104,228.2912827781715,309.05886767280913","122.14290776551583,266.79343044285855,321.740178933029","0.044444999999999985,0.026102,0.03214914285714286","35,208,299","400,400,400",2.36
2.96,0.244068,40.25,0.242938,3.5,43.75,0.00226,0,351,3.88
2.6,0.4,17.2001062,0.388539071,6.099964599,23.3000708,0.019693286,0,340,5
"3.32,11.0","0.38714,0.179406","32.125169120355835,32.154545152204435","0.37056757142857133,0.16109992857142852","13.37494208136408,208.4286697733531","45.50011120171992,240.58321492555754","0.03314485714285709,0.034301","0,181","400,400",1.8
"3.24,5.16,8.68","0.03761,0.035149,-0.009139","39.29041076040175,14.999593578540953,53.43983300775068","0.034534499999999996,0.03040421428571428,-0.02429714285714285","9.834055811433233,70.50020321072952,138.34356264607254","49.12446657183498,85.49979678927048,191.78339565382322","0.006150999999999997,0.007381000000000006,0.030316285714285712","1,64,127","400,400,400",6.12
"6.36,11.88,14.96","0.162941,0.120588,0.087647","77.9170967264981,25.725369004108245,9.943267701764967","0.13926449999999996,0.1131300714285714,0.06801485714285713","70.9998178506375,231.84349766255843,319.0457749398789","148.9169145771356,257.5688666666667,328.9890426416439","0.047352999999999965,0.01407585714285714,0.02762571428571428","29,217,308","400,400,400",3.16
6.24,0.185588,79.932806,0.163361,69.74946876,149.6822748,0.04437,17,400,3.88
"6.36,11.56,16.44","0.153529,0.092941,0.021471","79.37992924019088,33.99999999999997,40.1395656279509","0.12352914285714282,0.09020999999999998,0.016701642857142852","71.99971667374982,216.50000000000003,336.74929178470256","151.3796459139407,250.5,376.88885741265346","0.059831714285714294,0.005125999999999978,0.009033285714285714","21,196,322","400,400,400",3.76
16.2,0.645455,44.98743268,0.644421071,334.0062837,378.9937163,0.002067857,188,400,8.96
7.12,0.895918,152.7506739,0.891744,91.74932615,244.5,0.008348,48,365,10.24
8.04,0.674954,144,0.662350929,93.5,237.5,0.024410429,0,400,3.8
16.6,-0.009975,25.25006683,-0.021197,347.7499332,373,0.022444,319,400,5.4
3.08,0.181703,77.46472453,0.166223357,12.7498415,90.21456604,0.030959286,0,400,3.2
5.4,0.191061,117.5108246,0.124441143,13.7009336,131.2117582,0.133239714,0,400,3.92
"3.08,3.72,5.2","0.275419,0.260335,0.261453","120.7879926013872,10.100200905007206,19.444709626093797","0.1960095714285714,0.2575419285714285,0.25722271428571425","11.7834177042003,39.50004972155924,66.66646778042963","132.5714103055875,49.60025062656645,86.11117740652342","0.15075799999999998,0.004948142857142845,0.008300285714285649","0,36,36","400,58,400",1.36
"5.16,7.96,9.48","0.056227,0.009387,0.008736","15.428469477382535,65.50321090609171,10.936559544842623","0.05111535714285713,-0.014962714285714284,0.0026486428571428564","69.85737812911725,132.0800541072307,180.27779675491033","85.28584760649979,197.5832650133224,191.21435629975295","0.009293857142857145,0.04851314285714285,0.010130142857142855","62,124,172","400,400,400",4.08
"3.44,5.28,8.12","0.040613,0.043866,-0.014684","16.05126004784789,18.818532090683917,49.96337119560019","0.033317999999999987,0.031552071428571415,-0.02583649999999999","27.05567890691716,72.04988470407379,143.4117088607595","43.10693895476505,90.8684167947577,193.37508005635968","0.012732,0.022397571428571426,0.021932999999999994","0,57,130","57,400,400",6.04
"2.92,7.92,14.96","0.005301,-0.091205,-0.112892","35.95079081568213,17.342891580193054,50.734984498160316","-0.0013597857142857135,-0.09589078571428569,-0.14534421428571423","11.24959649527323,138.5500737735153,309.3125540376967","47.200387310955364,155.89296535370835,360.04753853585703","0.013631571428571425,0.009371571428571437,0.06335585714285712","0,132,242","242,242,373",5.2
"2.8,6.32,10.92","0.057798,0.111009,0.06055","14.428020198549763,120.23856921824057,21.312903084462732","0.047313285714285704,0.06946257142857142,0.05416107142857141","9.863604835513279,61.6363456202933,214.8747502270663","24.291625034063042,181.87491483853387,236.18765331152903","0.01703771428571428,0.08283085714285712,0.011729857142857139","0,0,206","29,291,291",4.44
"5.4,7.72,11.04","0.088991,0.074312,0.051376","101.7913790218459,15.66077650700737,47.291613706523776","0.053080071428571414,0.06572721428571426,0.04233285714285713","62.375136239782016,137.14692869966657,209.374931880109","164.16651526162792,152.80770520667394,256.66654558663276","0.06893814285714285,0.015858428571428565,0.018086285714285708","0,130,200","384,384,384",5.04
6.08,0.14984,81.66873559,0.133447214,66.0620892,147.7308248,0.032785571,0,400,1.76
"2.96,4.44,9.28","0.246752,0.22492,0.082215","15.613033723740113,11.770294047981608,69.97105611946205","0.23421942857142852,0.2136238571428571,0.04908714285714284","15.325324907595103,54.87833722464724,156.61968999629687","30.938358631335216,66.64863127262885,226.59074611575892","0.02392371428571427,0.02167971428571433,0.06595171428571428","8,48,123","123,123,311",2.12
4.36,0.02686,46.75628021,0.017695,37.86856852,84.62484873,0.017443714,0,131,5.04
"5.36,8.96,15.08","0.01167,0.011429,0.020241","48.5937676877267,26.928971070216704,50.32841531319184","-0.007568357142857139,-0.0022433571428571424,-0.0033342857142857132","53.70951362907536,159.37518825301206,295.9434375","102.30328131680206,186.30415932322876,346.27185281319186","0.03794214285714284,0.026464428571428566,0.04659971428571427","27,113,206","206,206,377",6.48
