Al91Zn5.2Mg2.3Cu1.5,Mg,SiCp,CNTs,固溶温度（℃）,固溶时间（min）,时效温度（℃）,时效时间（h）
100.0,0.0,0.0,0.0,460,40,120,11
100.0,0.0,0.0,0.0,460,40,120,12
100.0,0.0,0.0,0.0,460,40,120,13
100.0,0.0,0.0,0.0,460,40,120,14
100.0,0.0,0.0,0.0,460,40,120,15
100.0,0.0,0.0,0.0,460,40,120,16
100.0,0.0,0.0,0.0,460,40,120,17
100.0,0.0,0.0,0.0,460,40,120,18
100.0,0.0,0.0,0.0,460,40,120,19
100.0,0.0,0.0,0.0,460,40,120,20
100.0,0.0,0.0,0.0,460,40,120,21
100.0,0.0,0.0,0.0,460,40,120,22
100.0,0.0,0.0,0.0,460,40,120,23
100.0,0.0,0.0,0.0,460,40,120,24
100.0,0.0,0.0,0.0,460,41,120,9
100.0,0.0,0.0,0.0,460,41,120,10
100.0,0.0,0.0,0.0,460,41,120,11
100.0,0.0,0.0,0.0,460,41,120,12
100.0,0.0,0.0,0.0,460,41,120,13
100.0,0.0,0.0,0.0,460,41,120,14
100.0,0.0,0.0,0.0,460,41,120,15
100.0,0.0,0.0,0.0,460,41,120,16
100.0,0.0,0.0,0.0,460,41,120,17
100.0,0.0,0.0,0.0,460,41,120,18
100.0,0.0,0.0,0.0,460,41,120,19
100.0,0.0,0.0,0.0,460,41,120,20
100.0,0.0,0.0,0.0,460,41,120,21
100.0,0.0,0.0,0.0,460,41,120,22
100.0,0.0,0.0,0.0,460,41,120,23
100.0,0.0,0.0,0.0,460,41,120,24
100.0,0.0,0.0,0.0,460,42,120,9
100.0,0.0,0.0,0.0,460,42,120,10
100.0,0.0,0.0,0.0,460,42,120,11
100.0,0.0,0.0,0.0,460,42,120,12
100.0,0.0,0.0,0.0,460,42,120,13
100.0,0.0,0.0,0.0,460,42,120,14
100.0,0.0,0.0,0.0,460,42,120,15
100.0,0.0,0.0,0.0,460,42,120,16
100.0,0.0,0.0,0.0,460,42,120,17
100.0,0.0,0.0,0.0,460,42,120,18
100.0,0.0,0.0,0.0,460,42,120,19
100.0,0.0,0.0,0.0,460,42,120,20
100.0,0.0,0.0,0.0,460,42,120,21
100.0,0.0,0.0,0.0,460,42,120,22
100.0,0.0,0.0,0.0,460,42,120,23
100.0,0.0,0.0,0.0,460,42,120,24
100.0,0.0,0.0,0.0,460,43,120,9
100.0,0.0,0.0,0.0,460,43,120,10
100.0,0.0,0.0,0.0,460,43,120,11
100.0,0.0,0.0,0.0,460,43,120,12
100.0,0.0,0.0,0.0,460,43,120,13
100.0,0.0,0.0,0.0,460,43,120,14
100.0,0.0,0.0,0.0,460,43,120,15
100.0,0.0,0.0,0.0,460,43,120,16
100.0,0.0,0.0,0.0,460,43,120,17
100.0,0.0,0.0,0.0,460,43,120,18
100.0,0.0,0.0,0.0,460,43,120,19
100.0,0.0,0.0,0.0,460,43,120,20
100.0,0.0,0.0,0.0,460,43,120,21
100.0,0.0,0.0,0.0,460,43,120,22
100.0,0.0,0.0,0.0,460,43,120,23
100.0,0.0,0.0,0.0,460,43,120,24
100.0,0.0,0.0,0.0,460,44,120,9
100.0,0.0,0.0,0.0,460,44,120,10
100.0,0.0,0.0,0.0,460,44,120,11
100.0,0.0,0.0,0.0,460,44,120,12
100.0,0.0,0.0,0.0,460,44,120,13
100.0,0.0,0.0,0.0,460,44,120,14
100.0,0.0,0.0,0.0,460,44,120,15
100.0,0.0,0.0,0.0,460,44,120,16
100.0,0.0,0.0,0.0,460,44,120,17
100.0,0.0,0.0,0.0,460,44,120,18
100.0,0.0,0.0,0.0,460,44,120,19
100.0,0.0,0.0,0.0,460,44,120,20
100.0,0.0,0.0,0.0,460,44,120,21
100.0,0.0,0.0,0.0,460,44,120,22
100.0,0.0,0.0,0.0,460,44,120,23
100.0,0.0,0.0,0.0,460,44,120,24
100.0,0.0,0.0,0.0,460,45,120,9
100.0,0.0,0.0,0.0,460,45,120,10
100.0,0.0,0.0,0.0,460,45,120,11
100.0,0.0,0.0,0.0,460,45,120,12
100.0,0.0,0.0,0.0,460,45,120,13
100.0,0.0,0.0,0.0,460,45,120,14
100.0,0.0,0.0,0.0,460,45,120,15
100.0,0.0,0.0,0.0,460,45,120,16
100.0,0.0,0.0,0.0,460,45,120,17
100.0,0.0,0.0,0.0,460,45,120,18
100.0,0.0,0.0,0.0,460,45,120,19
100.0,0.0,0.0,0.0,460,45,120,20
100.0,0.0,0.0,0.0,460,45,120,21
100.0,0.0,0.0,0.0,460,45,120,22
100.0,0.0,0.0,0.0,460,45,120,23
100.0,0.0,0.0,0.0,460,45,120,24
100.0,0.0,0.0,0.0,460,46,120,9
100.0,0.0,0.0,0.0,460,46,120,10
100.0,0.0,0.0,0.0,460,46,120,11
100.0,0.0,0.0,0.0,460,46,120,12
100.0,0.0,0.0,0.0,460,46,120,13
100.0,0.0,0.0,0.0,460,46,120,14
100.0,0.0,0.0,0.0,460,46,120,15
100.0,0.0,0.0,0.0,460,46,120,16
100.0,0.0,0.0,0.0,460,46,120,17
100.0,0.0,0.0,0.0,460,46,120,18
100.0,0.0,0.0,0.0,460,46,120,19
100.0,0.0,0.0,0.0,460,46,120,20
100.0,0.0,0.0,0.0,460,46,120,21
100.0,0.0,0.0,0.0,460,46,120,22
100.0,0.0,0.0,0.0,460,46,120,23
100.0,0.0,0.0,0.0,460,46,120,24
100.0,0.0,0.0,0.0,460,47,120,9
100.0,0.0,0.0,0.0,460,47,120,10
100.0,0.0,0.0,0.0,460,47,120,11
100.0,0.0,0.0,0.0,460,47,120,12
100.0,0.0,0.0,0.0,460,47,120,13
100.0,0.0,0.0,0.0,460,47,120,14
100.0,0.0,0.0,0.0,460,47,120,15
100.0,0.0,0.0,0.0,460,47,120,16
100.0,0.0,0.0,0.0,460,47,120,17
100.0,0.0,0.0,0.0,460,47,120,18
100.0,0.0,0.0,0.0,460,47,120,19
100.0,0.0,0.0,0.0,460,47,120,20
100.0,0.0,0.0,0.0,460,47,120,21
100.0,0.0,0.0,0.0,460,47,120,22
100.0,0.0,0.0,0.0,460,47,120,23
100.0,0.0,0.0,0.0,460,47,120,24
100.0,0.0,0.0,0.0,460,48,120,9
100.0,0.0,0.0,0.0,460,48,120,10
100.0,0.0,0.0,0.0,460,48,120,11
100.0,0.0,0.0,0.0,460,48,120,12
100.0,0.0,0.0,0.0,460,48,120,13
100.0,0.0,0.0,0.0,460,48,120,14
100.0,0.0,0.0,0.0,460,48,120,15
100.0,0.0,0.0,0.0,460,48,120,16
100.0,0.0,0.0,0.0,460,48,120,17
100.0,0.0,0.0,0.0,460,48,120,18
100.0,0.0,0.0,0.0,460,48,120,19
100.0,0.0,0.0,0.0,460,48,120,20
100.0,0.0,0.0,0.0,460,48,120,21
100.0,0.0,0.0,0.0,460,48,120,22
100.0,0.0,0.0,0.0,460,48,120,23
100.0,0.0,0.0,0.0,460,48,120,24
100.0,0.0,0.0,0.0,460,49,120,9
100.0,0.0,0.0,0.0,460,49,120,10
100.0,0.0,0.0,0.0,460,49,120,11
100.0,0.0,0.0,0.0,460,49,120,12
100.0,0.0,0.0,0.0,460,49,120,13
100.0,0.0,0.0,0.0,460,49,120,14
100.0,0.0,0.0,0.0,460,49,120,15
100.0,0.0,0.0,0.0,460,49,120,16
100.0,0.0,0.0,0.0,460,49,120,17
100.0,0.0,0.0,0.0,460,49,120,18
100.0,0.0,0.0,0.0,460,49,120,19
100.0,0.0,0.0,0.0,460,49,120,20
100.0,0.0,0.0,0.0,460,49,120,21
100.0,0.0,0.0,0.0,460,49,120,22
100.0,0.0,0.0,0.0,460,49,120,23
100.0,0.0,0.0,0.0,460,49,120,24
100.0,0.0,0.0,0.0,460,50,120,9
100.0,0.0,0.0,0.0,460,50,120,10
100.0,0.0,0.0,0.0,460,50,120,11
100.0,0.0,0.0,0.0,460,50,120,12
100.0,0.0,0.0,0.0,460,50,120,13
100.0,0.0,0.0,0.0,460,50,120,14
100.0,0.0,0.0,0.0,460,50,120,15
100.0,0.0,0.0,0.0,460,50,120,16
100.0,0.0,0.0,0.0,460,50,120,17
100.0,0.0,0.0,0.0,460,50,120,18
100.0,0.0,0.0,0.0,460,50,120,19
100.0,0.0,0.0,0.0,460,50,120,20
100.0,0.0,0.0,0.0,460,50,120,21
100.0,0.0,0.0,0.0,460,50,120,22
100.0,0.0,0.0,0.0,460,50,120,23
100.0,0.0,0.0,0.0,460,50,120,24
100.0,0.0,0.0,0.0,460,51,120,9
100.0,0.0,0.0,0.0,460,51,120,10
100.0,0.0,0.0,0.0,460,51,120,11
100.0,0.0,0.0,0.0,460,51,120,12
100.0,0.0,0.0,0.0,460,51,120,13
100.0,0.0,0.0,0.0,460,51,120,14
100.0,0.0,0.0,0.0,460,51,120,15
100.0,0.0,0.0,0.0,460,51,120,16
100.0,0.0,0.0,0.0,460,51,120,17
100.0,0.0,0.0,0.0,460,51,120,18
100.0,0.0,0.0,0.0,460,51,120,19
100.0,0.0,0.0,0.0,460,51,120,20
100.0,0.0,0.0,0.0,460,51,120,21
100.0,0.0,0.0,0.0,460,51,120,22
100.0,0.0,0.0,0.0,460,51,120,23
100.0,0.0,0.0,0.0,460,51,120,24
100.0,0.0,0.0,0.0,460,52,120,9
100.0,0.0,0.0,0.0,460,52,120,10
100.0,0.0,0.0,0.0,460,52,120,11
100.0,0.0,0.0,0.0,460,52,120,12
100.0,0.0,0.0,0.0,460,52,120,13
100.0,0.0,0.0,0.0,460,52,120,14
100.0,0.0,0.0,0.0,460,52,120,15
100.0,0.0,0.0,0.0,460,52,120,16
100.0,0.0,0.0,0.0,460,52,120,17
100.0,0.0,0.0,0.0,460,52,120,18
100.0,0.0,0.0,0.0,460,52,120,19
100.0,0.0,0.0,0.0,460,52,120,20
100.0,0.0,0.0,0.0,460,52,120,21
100.0,0.0,0.0,0.0,460,52,120,22
100.0,0.0,0.0,0.0,460,52,120,23
100.0,0.0,0.0,0.0,460,52,120,24
100.0,0.0,0.0,0.0,460,53,120,9
100.0,0.0,0.0,0.0,460,53,120,10
100.0,0.0,0.0,0.0,460,53,120,11
100.0,0.0,0.0,0.0,460,53,120,12
100.0,0.0,0.0,0.0,460,53,120,13
100.0,0.0,0.0,0.0,460,53,120,14
100.0,0.0,0.0,0.0,460,53,120,15
100.0,0.0,0.0,0.0,460,53,120,16
100.0,0.0,0.0,0.0,460,53,120,17
100.0,0.0,0.0,0.0,460,53,120,18
100.0,0.0,0.0,0.0,460,53,120,19
100.0,0.0,0.0,0.0,460,53,120,20
100.0,0.0,0.0,0.0,460,53,120,21
100.0,0.0,0.0,0.0,460,53,120,22
100.0,0.0,0.0,0.0,460,53,120,23
100.0,0.0,0.0,0.0,460,53,120,24
100.0,0.0,0.0,0.0,460,54,120,9
100.0,0.0,0.0,0.0,460,54,120,10
100.0,0.0,0.0,0.0,460,54,120,11
100.0,0.0,0.0,0.0,460,54,120,12
100.0,0.0,0.0,0.0,460,54,120,13
100.0,0.0,0.0,0.0,460,54,120,14
100.0,0.0,0.0,0.0,460,54,120,15
100.0,0.0,0.0,0.0,460,54,120,16
100.0,0.0,0.0,0.0,460,54,120,17
100.0,0.0,0.0,0.0,460,54,120,18
100.0,0.0,0.0,0.0,460,54,120,19
100.0,0.0,0.0,0.0,460,54,120,20
100.0,0.0,0.0,0.0,460,54,120,21
100.0,0.0,0.0,0.0,460,54,120,22
100.0,0.0,0.0,0.0,460,54,120,23
100.0,0.0,0.0,0.0,460,54,120,24
100.0,0.0,0.0,0.0,460,55,120,9
100.0,0.0,0.0,0.0,460,55,120,10
100.0,0.0,0.0,0.0,460,55,120,11
100.0,0.0,0.0,0.0,460,55,120,12
100.0,0.0,0.0,0.0,460,55,120,13
100.0,0.0,0.0,0.0,460,55,120,14
100.0,0.0,0.0,0.0,460,55,120,15
100.0,0.0,0.0,0.0,460,55,120,16
100.0,0.0,0.0,0.0,460,55,120,17
100.0,0.0,0.0,0.0,460,55,120,18
100.0,0.0,0.0,0.0,460,55,120,19
100.0,0.0,0.0,0.0,460,55,120,20
100.0,0.0,0.0,0.0,460,55,120,21
100.0,0.0,0.0,0.0,460,55,120,22
100.0,0.0,0.0,0.0,460,55,120,23
100.0,0.0,0.0,0.0,460,55,120,24
100.0,0.0,0.0,0.0,460,56,120,9
100.0,0.0,0.0,0.0,460,56,120,10
100.0,0.0,0.0,0.0,460,56,120,11
100.0,0.0,0.0,0.0,460,56,120,12
100.0,0.0,0.0,0.0,460,56,120,13
100.0,0.0,0.0,0.0,460,56,120,14
100.0,0.0,0.0,0.0,460,56,120,15
100.0,0.0,0.0,0.0,460,56,120,16
100.0,0.0,0.0,0.0,460,56,120,17
100.0,0.0,0.0,0.0,460,56,120,18
100.0,0.0,0.0,0.0,460,56,120,19
100.0,0.0,0.0,0.0,460,56,120,20
100.0,0.0,0.0,0.0,460,56,120,21
100.0,0.0,0.0,0.0,460,56,120,22
100.0,0.0,0.0,0.0,460,56,120,23
100.0,0.0,0.0,0.0,460,56,120,24
100.0,0.0,0.0,0.0,460,57,120,9
100.0,0.0,0.0,0.0,460,57,120,10
100.0,0.0,0.0,0.0,460,57,120,11
100.0,0.0,0.0,0.0,460,57,120,12
100.0,0.0,0.0,0.0,460,57,120,13
100.0,0.0,0.0,0.0,460,57,120,14
100.0,0.0,0.0,0.0,460,57,120,15
100.0,0.0,0.0,0.0,460,57,120,16
100.0,0.0,0.0,0.0,460,57,120,17
100.0,0.0,0.0,0.0,460,57,120,18
100.0,0.0,0.0,0.0,460,57,120,19
100.0,0.0,0.0,0.0,460,57,120,20
100.0,0.0,0.0,0.0,460,57,120,21
100.0,0.0,0.0,0.0,460,57,120,22
100.0,0.0,0.0,0.0,460,57,120,23
100.0,0.0,0.0,0.0,460,57,120,24
100.0,0.0,0.0,0.0,460,58,120,9
100.0,0.0,0.0,0.0,460,58,120,10
100.0,0.0,0.0,0.0,460,58,120,11
100.0,0.0,0.0,0.0,460,58,120,12
100.0,0.0,0.0,0.0,460,58,120,13
100.0,0.0,0.0,0.0,460,58,120,14
100.0,0.0,0.0,0.0,460,58,120,15
100.0,0.0,0.0,0.0,460,58,120,16
100.0,0.0,0.0,0.0,460,58,120,17
100.0,0.0,0.0,0.0,460,58,120,18
100.0,0.0,0.0,0.0,460,58,120,19
100.0,0.0,0.0,0.0,460,58,120,20
100.0,0.0,0.0,0.0,460,58,120,21
100.0,0.0,0.0,0.0,460,58,120,22
100.0,0.0,0.0,0.0,460,58,120,23
100.0,0.0,0.0,0.0,460,58,120,24
100.0,0.0,0.0,0.0,460,59,120,9
100.0,0.0,0.0,0.0,460,59,120,10
100.0,0.0,0.0,0.0,460,59,120,11
100.0,0.0,0.0,0.0,460,59,120,12
100.0,0.0,0.0,0.0,460,59,120,13
100.0,0.0,0.0,0.0,460,59,120,14
100.0,0.0,0.0,0.0,460,59,120,15
100.0,0.0,0.0,0.0,460,59,120,16
100.0,0.0,0.0,0.0,460,59,120,17
100.0,0.0,0.0,0.0,460,59,120,18
100.0,0.0,0.0,0.0,460,59,120,19
100.0,0.0,0.0,0.0,460,59,120,20
100.0,0.0,0.0,0.0,460,59,120,21
100.0,0.0,0.0,0.0,460,59,120,22
100.0,0.0,0.0,0.0,460,59,120,23
100.0,0.0,0.0,0.0,460,59,120,24
100.0,0.0,0.0,0.0,460,60,120,9
100.0,0.0,0.0,0.0,460,60,120,10
100.0,0.0,0.0,0.0,460,60,120,11
100.0,0.0,0.0,0.0,460,60,120,12
100.0,0.0,0.0,0.0,460,60,120,13
100.0,0.0,0.0,0.0,460,60,120,14
100.0,0.0,0.0,0.0,460,60,120,15
100.0,0.0,0.0,0.0,460,60,120,16
100.0,0.0,0.0,0.0,460,60,120,17
100.0,0.0,0.0,0.0,460,60,120,18
100.0,0.0,0.0,0.0,460,60,120,19
100.0,0.0,0.0,0.0,460,60,120,20
100.0,0.0,0.0,0.0,460,60,120,21
100.0,0.0,0.0,0.0,460,60,120,22
100.0,0.0,0.0,0.0,460,60,120,23
100.0,0.0,0.0,0.0,460,60,120,24
100.0,0.0,0.0,0.0,461,30,120,9
100.0,0.0,0.0,0.0,461,30,120,10
100.0,0.0,0.0,0.0,461,30,120,11
100.0,0.0,0.0,0.0,461,30,120,12
100.0,0.0,0.0,0.0,461,30,120,13
100.0,0.0,0.0,0.0,461,30,120,14
100.0,0.0,0.0,0.0,461,30,120,15
100.0,0.0,0.0,0.0,461,30,120,16
100.0,0.0,0.0,0.0,461,30,120,17
100.0,0.0,0.0,0.0,461,30,120,18
100.0,0.0,0.0,0.0,461,30,120,19
100.0,0.0,0.0,0.0,461,30,120,20
100.0,0.0,0.0,0.0,461,30,120,21
100.0,0.0,0.0,0.0,461,30,120,22
100.0,0.0,0.0,0.0,461,30,120,23
100.0,0.0,0.0,0.0,461,30,120,24
100.0,0.0,0.0,0.0,461,31,120,9
100.0,0.0,0.0,0.0,461,31,120,10
100.0,0.0,0.0,0.0,461,31,120,11
100.0,0.0,0.0,0.0,461,31,120,12
100.0,0.0,0.0,0.0,461,31,120,13
100.0,0.0,0.0,0.0,461,31,120,14
100.0,0.0,0.0,0.0,461,31,120,15
100.0,0.0,0.0,0.0,461,31,120,16
100.0,0.0,0.0,0.0,461,31,120,17
100.0,0.0,0.0,0.0,461,31,120,18
100.0,0.0,0.0,0.0,461,31,120,19
100.0,0.0,0.0,0.0,461,31,120,20
100.0,0.0,0.0,0.0,461,31,120,21
100.0,0.0,0.0,0.0,461,31,120,22
100.0,0.0,0.0,0.0,461,31,120,23
100.0,0.0,0.0,0.0,461,31,120,24
100.0,0.0,0.0,0.0,461,32,120,9
100.0,0.0,0.0,0.0,461,32,120,10
100.0,0.0,0.0,0.0,461,32,120,11
100.0,0.0,0.0,0.0,461,32,120,12
100.0,0.0,0.0,0.0,461,32,120,13
100.0,0.0,0.0,0.0,461,32,120,14
100.0,0.0,0.0,0.0,461,32,120,15
100.0,0.0,0.0,0.0,461,32,120,16
100.0,0.0,0.0,0.0,461,32,120,17
100.0,0.0,0.0,0.0,461,32,120,18
100.0,0.0,0.0,0.0,461,32,120,19
100.0,0.0,0.0,0.0,461,32,120,20
100.0,0.0,0.0,0.0,461,32,120,21
100.0,0.0,0.0,0.0,461,32,120,22
100.0,0.0,0.0,0.0,461,32,120,23
100.0,0.0,0.0,0.0,461,32,120,24
100.0,0.0,0.0,0.0,461,33,120,9
100.0,0.0,0.0,0.0,461,33,120,10
100.0,0.0,0.0,0.0,461,33,120,11
100.0,0.0,0.0,0.0,461,33,120,12
100.0,0.0,0.0,0.0,461,33,120,13
100.0,0.0,0.0,0.0,461,33,120,14
100.0,0.0,0.0,0.0,461,33,120,15
100.0,0.0,0.0,0.0,461,33,120,16
100.0,0.0,0.0,0.0,461,33,120,17
100.0,0.0,0.0,0.0,461,33,120,18
100.0,0.0,0.0,0.0,461,33,120,19
100.0,0.0,0.0,0.0,461,33,120,20
100.0,0.0,0.0,0.0,461,33,120,21
100.0,0.0,0.0,0.0,461,33,120,22
100.0,0.0,0.0,0.0,461,33,120,23
100.0,0.0,0.0,0.0,461,33,120,24
100.0,0.0,0.0,0.0,461,34,120,9
100.0,0.0,0.0,0.0,461,34,120,10
100.0,0.0,0.0,0.0,461,34,120,11
100.0,0.0,0.0,0.0,461,34,120,12
100.0,0.0,0.0,0.0,461,34,120,13
100.0,0.0,0.0,0.0,461,34,120,14
100.0,0.0,0.0,0.0,461,34,120,15
100.0,0.0,0.0,0.0,461,34,120,16
100.0,0.0,0.0,0.0,461,34,120,17
100.0,0.0,0.0,0.0,461,34,120,18
100.0,0.0,0.0,0.0,461,34,120,19
100.0,0.0,0.0,0.0,461,34,120,20
100.0,0.0,0.0,0.0,461,34,120,21
100.0,0.0,0.0,0.0,461,34,120,22
100.0,0.0,0.0,0.0,461,34,120,23
100.0,0.0,0.0,0.0,461,34,120,24
100.0,0.0,0.0,0.0,461,35,120,9
